dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
JapaneseVowels,1,20,12854,cosco_proto_margin,0.7162162162162162,2.45,ok,,,,,,,,0.0,0.0,7.924764140446981
JapaneseVowels,1,20,12854,cosco_geometry_rho,0.7567567567567568,2.52,ok,0.10811561361124523,0.10182249997388204,0.1136447079192165,0.404177256167472,0.0,0.3702336390813192,0.0,,,
JapaneseVowels,1,20,12854,cosco_proto_margin_geometry_rho,0.7567567567567568,2.35,ok,0.10811561361124523,0.10182249997388204,0.1136447079192165,0.404177256167472,0.0,0.3702336390813192,0.0,0.0,0.0,7.9011160691579185
JapaneseVowels,1,30,12864,cosco,0.7567567567567568,2.52,ok,,,,,,,,,,
JapaneseVowels,1,30,12864,cosco_proto_margin,0.7567567567567568,2.55,ok,,,,,,,,0.0,0.0,7.76964168548584
JapaneseVowels,1,30,12864,cosco_geometry_rho,0.7594594594594595,2.49,ok,0.1089359505842348,0.10383025406555527,0.11337179283923651,0.39651107529191637,0.0,0.36879296600818634,0.0,,,
JapaneseVowels,1,30,12864,cosco_proto_margin_geometry_rho,0.7594594594594595,2.13,ok,0.1089359505842348,0.10383025406555527,0.11337179283923651,0.39651107529191637,0.0,0.36879296600818634,0.0,0.0,0.0,7.687921826044718
JapaneseVowels,10,10,13660,cosco,0.8918918918918919,9.22,ok,,,,,,,,,,
JapaneseVowels,10,10,13660,cosco_proto_margin,0.8972972972972973,7.65,ok,,,,,,,,0.012929038889706135,0.01814814880490303,5.418563747406006
JapaneseVowels,10,10,13660,cosco_geometry_rho,0.8837837837837837,7.85,ok,0.10573508108531023,0.08933756473219275,0.11358024717892837,0.36647839245746183,0.12081920228277644,0.3873969942331314,0.40403916041056315,,,
JapaneseVowels,10,10,13660,cosco_proto_margin_geometry_rho,0.8972972972972973,9.24,ok,0.10583294730018836,0.08933756473219275,0.11347793809130313,0.3625155632576576,0.11061658326846859,0.3892101476589839,0.40131159325440724,0.012070067382107178,0.015185185708105564,5.5371490836143495
JapaneseVowels,10,20,13670,cosco,0.9054054054054054,9.23,ok,,,,,,,,,,
JapaneseVowels,10,20,13670,cosco_proto_margin,0.9135135135135135,9.1,ok,,,,,,,,0.006896380852413131,0.017037037449578445,5.208423233032226
JapaneseVowels,10,20,13670,cosco_geometry_rho,0.8972972972972973,10.81,ok,0.10311382552473568,0.08248312465445434,0.1133892198520694,0.3931187132337875,0.13566058863264818,0.3851864089568456,0.41618781685829165,,,
JapaneseVowels,10,20,13670,cosco_proto_margin_geometry_rho,0.9135135135135135,10.22,ok,0.1032430906307338,0.08248312465445434,0.11363038636341756,0.38921371429094104,0.12820165458445748,0.38489239613215126,0.4099974592526754,0.004247728409245611,0.014814815173546473,5.468821235497793
JapaneseVowels,10,30,13680,cosco,0.9243243243243243,10.02,ok,,,,,,,,,,
JapaneseVowels,10,30,13680,cosco_proto_margin,0.918918918918919,10.32,ok,,,,,,,,0.008895690537368257,0.014074074445913236,5.076232965787252
JapaneseVowels,10,30,13680,cosco_geometry_rho,0.927027027027027,9.24,ok,0.10370596147295505,0.08421161245485284,0.11346814313203757,0.3900690061228628,0.13998588298757872,0.38858978152275087,0.41582094331582387,,,
JapaneseVowels,10,30,13680,cosco_proto_margin_geometry_rho,0.9162162162162162,10.09,ok,0.10385094805753373,0.08421161245485284,0.11360336434034618,0.38503385848913335,0.1253406659370133,0.3897930055856705,0.4122463782628377,0.0036018070299178363,0.00925925945242246,5.353593003749848
