dataset,shot,base_seed,seed,model,accuracy,elapsed_sec,status,rho_mean,rho_min,rho_max,pressure_mean,boundary_mean,crowding_mean,compactness_mean,margin_loss_mean,margin_active_rate,margin_gap_mean
NATOPS,10,10,2914,cosco_geometry_rho,0.9111111111111111,12.16,ok,0.09497463353655732,0.07500000000000001,0.11353108273584332,0.5135362879110559,0.24607424425582092,0.5695634802182515,0.4740638146797816,,,
NATOPS,10,10,2914,cosco_proto_margin_geometry_rho,0.9,11.74,ok,0.0950551177439291,0.07500000000000001,0.11349567585690712,0.5124469305250098,0.24416857386628787,0.5683915326992671,0.47262464463710785,0.009260748140513897,0.042222223989665505,3.088556973139445
NATOPS,10,20,2924,cosco,0.8888888888888888,12.12,ok,,,,,,,,,,
NATOPS,10,20,2924,cosco_proto_margin,0.9,12.84,ok,,,,,,,,0.010227465086306136,0.04555555737266938,2.906146256128947
NATOPS,10,20,2924,cosco_geometry_rho,0.8666666666666667,12.63,ok,0.09384787129983847,0.07500000000000001,0.11351248564800298,0.5320668982253985,0.29348637561003366,0.5680979688962301,0.5038226952155431,,,
NATOPS,10,20,2924,cosco_proto_margin_geometry_rho,0.8722222222222222,16.73,ok,0.09422143721160649,0.07500000000000001,0.11354257835781456,0.5280370482800326,0.2853885131577651,0.5632547189791998,0.49939005573590595,0.008133704114394883,0.05055555788179238,3.218035105864207
NATOPS,10,30,2934,cosco,0.9166666666666666,11.17,ok,,,,,,,,,,
NATOPS,10,30,2934,cosco_proto_margin,0.9111111111111111,11.59,ok,,,,,,,,0.00787015400128439,0.03055555702497562,3.0466247498989105
NATOPS,10,30,2934,cosco_geometry_rho,0.9111111111111111,11.46,ok,0.09715798119100774,0.07500000000000001,0.11359481232223714,0.4809067580640117,0.19578175940550863,0.5137331436077753,0.44206562141577405,,,
NATOPS,10,30,2934,cosco_proto_margin_geometry_rho,0.9055555555555556,11.38,ok,0.09717845981321051,0.07500000000000001,0.11361579524732318,0.4813196181557584,0.19707651038964588,0.5144036511580149,0.44198418259620664,0.006143955508984315,0.029444445421298347,3.586776848634084
