model,model_key,dataset,shot,accuracy,elapsed_sec,seed,status,cosco_variant,rho_min,rho_mean,rho_max,rho_final,proto_stress_mean,proto_stress_final,fft_reg_lambda,fft_reg_loss_time_mean,fft_reg_loss_freq_mean,fft_reg_loss_total_mean,fft_reg_lambda_min,fft_reg_lambda_mean,fft_reg_lambda_max,fft_reg_lambda_final,proto_margin_value,proto_margin_beta,proto_margin_base_loss_mean,proto_margin_loss_mean,proto_margin_total_loss_mean,proto_margin_positive_rate_mean,proto_margin_gap_mean
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,Heartbeat,1,0.7268292682926829,1.3,5845,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,0.31357158690690995,0.0,0.31357158690690995,0.0,7.75058156490326
cosco,cosco,Heartbeat,10,0.6536585365853659,1.9,6421,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,Heartbeat,10,0.6536585365853659,2.0,6421,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,0.495407307446003,0.20750650748610497,0.5057826322317124,0.1790000020712614,2.206214620321989
cosco_proto_margin,cosco_proto_margin_m0_b0.1,Heartbeat,10,0.6292682926829268,2.0,6421,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,0.4567815840244293,0.10211304778102204,0.4669928881525993,0.12800000198185443,2.5471050937473776
cosco_proto_margin,cosco_proto_margin_m0_b0.3,Heartbeat,10,0.6195121951219512,2.0,6421,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,0.4368050357699394,0.06055437115232053,0.45497134774923326,0.0915000019595027,2.7229973328113557
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,Heartbeat,10,0.6585365853658537,2.0,6421,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,0.49488112092018127,0.21613074101507665,0.5056876569986344,0.1885000029578805,2.1756425262987613
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,Heartbeat,10,0.6195121951219512,2.1,6421,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,0.4677663236856461,0.13628343775781104,0.48139466881752013,0.15500000342726708,2.460209477990866
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,Heartbeat,10,0.6048780487804878,2.1,6421,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,0.4364611741900444,0.0702365764847491,0.45753214657306673,0.10250000216066837,2.7259271131455898
cosco_proto_margin,cosco_proto_margin_m0.3_b0.05,Heartbeat,10,0.6390243902439025,2.1,6421,ok,m0.3_b0.05,,,,,,,,,,,,,,,0.3,0.05,0.4945687362551689,0.2505570976063609,0.5070965906977654,0.21000000577419997,2.1804031424224375
cosco_proto_margin,cosco_proto_margin_m0.3_b0.1,Heartbeat,10,0.6097560975609756,2.0,6421,ok,m0.3_b0.1,,,,,,,,,,,,,,,0.3,0.1,0.46533707827329635,0.15953781437827275,0.4812908601760864,0.172000004760921,2.4420007595419886
cosco_proto_margin,cosco_proto_margin_m0.3_b0.3,Heartbeat,10,0.6146341463414634,2.0,6421,ok,m0.3_b0.3,,,,,,,,,,,,,,,0.3,0.3,0.4375381499528885,0.10350265420318465,0.46858895033597947,0.12800000309944154,2.693392793685198
cosco,cosco,JapaneseVowels,1,0.6675675675675675,1.6,12844,ok,,,,,,,,,,,,,,,,,,,,,,
cosco_proto_margin,cosco_proto_margin_m0_b0.05,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0_b0.05,,,,,,,,,,,,,,,0.0,0.05,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0_b0.1,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0_b0.1,,,,,,,,,,,,,,,0.0,0.1,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0_b0.3,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0_b0.3,,,,,,,,,,,,,,,0.0,0.3,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0.1_b0.05,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.1_b0.05,,,,,,,,,,,,,,,0.1,0.05,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0.1_b0.1,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.1_b0.1,,,,,,,,,,,,,,,0.1,0.1,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
cosco_proto_margin,cosco_proto_margin_m0.1_b0.3,JapaneseVowels,1,0.6675675675675675,1.9,12844,ok,m0.1_b0.3,,,,,,,,,,,,,,,0.1,0.3,1.3740933108329774,0.0,1.3740933108329774,0.0,8.61798973083496
